"STATISTIC","Quarter","Type of House","Local Authority","UNIT","VALUE"
"New Dwelling Completion","2015Q1","Apartment","Clare County Council","Number","0"
"New Dwelling Completion","2015Q1","Apartment","Cavan County Council","Number","0"
"New Dwelling Completion","2015Q1","Apartment","Cork County Council","Number","2"
"New Dwelling Completion","2015Q1","Apartment","Carlow County Council","Number","0"
"New Dwelling Completion","2015Q1","Apartment","Dublin City Council","Number","60"
"New Dwelling Completion","2015Q1","Apartment","Dún Laoghaire Rathdown County Council","Number","11"
"New Dwelling Completion","2015Q1","Apartment","Donegal County Council","Number","3"
"New Dwelling Completion","2015Q1","Apartment","Fingal County Council","Number","3"
"New Dwelling Completion","2015Q1","Apartment","Galway County Council","Number","1"
"New Dwelling Completion","2015Q1","Apartment","Galway City Council","Number","2"
"New Dwelling Completion","2015Q1","Apartment","Kildare County Council","Number","0"
"New Dwelling Completion","2015Q1","Apartment","Kilkenny County Council","Number","0"
"New Dwelling Completion","2015Q1","Apartment","Kerry County Council","Number","0"
"New Dwelling Completion","2015Q1","Apartment","Longford County Council","Number","0"
"New Dwelling Completion","2015Q1","Apartment","Louth County Council","Number","0"
"New Dwelling Completion","2015Q1","Apartment","Limerick City & County Council","Number","2"
"New Dwelling Completion","2015Q1","Apartment","Leitrim County Council","Number","0"
"New Dwelling Completion","2015Q1","Apartment","Laois County Council","Number","0"
"New Dwelling Completion","2015Q1","Apartment","Meath County Council","Number","0"
"New Dwelling Completion","2015Q1","Apartment","Monaghan County Council","Number","0"
"New Dwelling Completion","2015Q1","Apartment","Mayo County Council","Number","1"
"New Dwelling Completion","2015Q1","Apartment","Offaly County Council","Number","0"
"New Dwelling Completion","2015Q1","Apartment","Roscommon County Council","Number","0"
"New Dwelling Completion","2015Q1","Apartment","South Dublin County Council","Number","2"
"New Dwelling Completion","2015Q1","Apartment","Sligo County Council","Number","0"
"New Dwelling Completion","2015Q1","Apartment","Tipperary County Council","Number","1"
"New Dwelling Completion","2015Q1","Apartment","Waterford City & County Council","Number","4"
"New Dwelling Completion","2015Q1","Apartment","Westmeath County Council","Number","0"
"New Dwelling Completion","2015Q1","Apartment","Wicklow County Council","Number","6"
"New Dwelling Completion","2015Q1","Apartment","Wexford County Council","Number","0"
"New Dwelling Completion","2015Q1","Apartment","Ireland","Number","106"
"New Dwelling Completion","2015Q1","All house types","Cork City Council","Number","30"
"New Dwelling Completion","2015Q1","All house types","Clare County Council","Number","22"
"New Dwelling Completion","2015Q1","All house types","Cavan County Council","Number","17"
"New Dwelling Completion","2015Q1","All house types","Cork County Council","Number","108"
"New Dwelling Completion","2015Q1","All house types","Carlow County Council","Number","17"
"New Dwelling Completion","2015Q1","All house types","Dublin City Council","Number","132"
"New Dwelling Completion","2015Q1","All house types","Dún Laoghaire Rathdown County Council","Number","63"
"New Dwelling Completion","2015Q1","All house types","Donegal County Council","Number","51"
"New Dwelling Completion","2015Q1","All house types","Fingal County Council","Number","180"
"New Dwelling Completion","2015Q1","All house types","Galway County Council","Number","63"
"New Dwelling Completion","2015Q1","All house types","Galway City Council","Number","10"
"New Dwelling Completion","2015Q1","All house types","Kildare County Council","Number","107"
"New Dwelling Completion","2015Q1","All house types","Kilkenny County Council","Number","18"
"New Dwelling Completion","2015Q1","All house types","Kerry County Council","Number","30"
"New Dwelling Completion","2015Q1","All house types","Longford County Council","Number","6"
"New Dwelling Completion","2015Q1","All house types","Louth County Council","Number","67"
"New Dwelling Completion","2015Q1","All house types","Limerick City & County Council","Number","36"
"New Dwelling Completion","2015Q1","All house types","Leitrim County Council","Number","11"
"New Dwelling Completion","2015Q1","All house types","Laois County Council","Number","16"
"New Dwelling Completion","2015Q1","All house types","Meath County Council","Number","53"
"New Dwelling Completion","2015Q1","All house types","Monaghan County Council","Number","21"
"New Dwelling Completion","2015Q1","All house types","Mayo County Council","Number","36"
"New Dwelling Completion","2015Q1","All house types","Offaly County Council","Number","17"
"New Dwelling Completion","2015Q1","All house types","Roscommon County Council","Number","10"
"New Dwelling Completion","2015Q1","All house types","South Dublin County Council","Number","70"
"New Dwelling Completion","2015Q1","All house types","Sligo County Council","Number","16"
"New Dwelling Completion","2015Q1","All house types","Tipperary County Council","Number","36"
"New Dwelling Completion","2015Q1","All house types","Waterford City & County Council","Number","17"
"New Dwelling Completion","2015Q1","All house types","Westmeath County Council","Number","11"
"New Dwelling Completion","2015Q1","All house types","Wicklow County Council","Number","51"
"New Dwelling Completion","2015Q1","All house types","Wexford County Council","Number","49"
"New Dwelling Completion","2015Q1","All house types","Ireland","Number","1371"
"New Dwelling Completion","2015Q2","Single house","Cork City Council","Number","5"
"New Dwelling Completion","2015Q2","Single house","Clare County Council","Number","38"
"New Dwelling Completion","2015Q2","Single house","Cavan County Council","Number","11"
"New Dwelling Completion","2015Q2","Single house","Cork County Council","Number","97"
"New Dwelling Completion","2015Q2","Single house","Carlow County Council","Number","13"
"New Dwelling Completion","2015Q2","Single house","Dublin City Council","Number","16"
"New Dwelling Completion","2015Q2","Single house","Dún Laoghaire Rathdown County Council","Number","8"
"New Dwelling Completion","2015Q2","Single house","Donegal County Council","Number","51"
"New Dwelling Completion","2015Q2","Single house","Fingal County Council","Number","13"
"New Dwelling Completion","2015Q2","Single house","Galway County Council","Number","57"
"New Dwelling Completion","2015Q2","Single house","Galway City Council","Number","2"
"New Dwelling Completion","2015Q2","Single house","Kildare County Council","Number","28"
"New Dwelling Completion","2015Q2","Single house","Kilkenny County Council","Number","22"
"New Dwelling Completion","2015Q2","Single house","Kerry County Council","Number","38"
"New Dwelling Completion","2015Q2","Single house","Longford County Council","Number","6"
"New Dwelling Completion","2015Q2","Single house","Louth County Council","Number","16"
"New Dwelling Completion","2015Q2","Single house","Limerick City & County Council","Number","23"
"New Dwelling Completion","2015Q2","Single house","Leitrim County Council","Number","10"
"New Dwelling Completion","2015Q2","Single house","Laois County Council","Number","14"
"New Dwelling Completion","2015Q2","Single house","Meath County Council","Number","36"
"New Dwelling Completion","2015Q2","Single house","Monaghan County Council","Number","22"
"New Dwelling Completion","2015Q2","Single house","Mayo County Council","Number","39"
"New Dwelling Completion","2015Q2","Single house","Offaly County Council","Number","20"
"New Dwelling Completion","2015Q2","Single house","Roscommon County Council","Number","18"
"New Dwelling Completion","2015Q2","Single house","South Dublin County Council","Number","8"
"New Dwelling Completion","2015Q2","Single house","Sligo County Council","Number","8"
"New Dwelling Completion","2015Q2","Single house","Tipperary County Council","Number","29"
"New Dwelling Completion","2015Q2","Single house","Waterford City & County Council","Number","18"
"New Dwelling Completion","2015Q2","Single house","Westmeath County Council","Number","10"
"New Dwelling Completion","2015Q2","Single house","Wicklow County Council","Number","22"
"New Dwelling Completion","2015Q2","Single house","Wexford County Council","Number","37"
"New Dwelling Completion","2015Q2","Single house","Ireland","Number","735"
"New Dwelling Completion","2015Q2","Scheme house","Cork City Council","Number","27"
"New Dwelling Completion","2015Q2","Scheme house","Clare County Council","Number","1"
"New Dwelling Completion","2015Q2","Scheme house","Cavan County Council","Number","1"
"New Dwelling Completion","2015Q2","Scheme house","Cork County Council","Number","42"
"New Dwelling Completion","2015Q2","Scheme house","Carlow County Council","Number","2"
"New Dwelling Completion","2015Q2","Scheme house","Dublin City Council","Number","36"
"New Dwelling Completion","2015Q2","Scheme house","Dún Laoghaire Rathdown County Council","Number","37"
"New Dwelling Completion","2015Q2","Scheme house","Donegal County Council","Number","14"
"New Dwelling Completion","2015Q2","Scheme house","Fingal County Council","Number","190"
"New Dwelling Completion","2015Q2","Scheme house","Galway County Council","Number","15"
"New Dwelling Completion","2015Q2","Scheme house","Galway City Council","Number","4"
"New Dwelling Completion","2015Q2","Scheme house","Kildare County Council","Number","106"
"New Dwelling Completion","2015Q2","Scheme house","Kilkenny County Council","Number","1"
"New Dwelling Completion","2015Q2","Scheme house","Kerry County Council","Number","2"
"New Dwelling Completion","2015Q2","Scheme house","Longford County Council","Number","13"
"New Dwelling Completion","2015Q2","Scheme house","Louth County Council","Number","9"
"New Dwelling Completion","2015Q2","Scheme house","Limerick City & County Council","Number","8"
"New Dwelling Completion","2015Q2","Scheme house","Leitrim County Council","Number","0"
"New Dwelling Completion","2015Q2","Scheme house","Laois County Council","Number","4"
"New Dwelling Completion","2015Q2","Scheme house","Meath County Council","Number","40"
"New Dwelling Completion","2015Q2","Scheme house","Monaghan County Council","Number","4"
"New Dwelling Completion","2015Q2","Scheme house","Mayo County Council","Number","2"
